clade	inclusive_count	exclusive_count
B.1.110.3	853	853
B.1.111	260	260
B.1.112	163	163
B.1.113	48	48
B.1.115	15	15
B.1.116	2	2
B.1.117	77	77
B.1.12	33	33
B.1.120	123	123
B.1.124	111	111
B.1.126	504	504
B.1.127	4	4
B.1.128	2	2
B.1.13	388	388
B.1.131	26	26
B.1.134	2	2
B.1.137	5	5
B.1.139	442	442
B.1.14	57	57
B.1.142	338	338
B.1.143	25	25
B.1.145	10	10
B.1.146	103	103
B.1.147	73	73
B.1.151	77	77
B.1.153	55	55
B.1.157	124	124
B.1.159	27	27
B.1.160	18435	14722
B.1.160.10	123	123
B.1.160.11	146	146
B.1.160.12	160	160
B.1.160.13	8	8
B.1.160.15	188	188
B.1.160.19	26	26
B.1.160.20	106	106
B.1.160.22	134	134
B.1.160.23	198	198
B.1.160.25	19	19
B.1.160.26	353	353
B.1.160.28	89	89
B.1.160.29	200	200
B.1.160.30	799	799
B.1.160.31	144	119
B.1.160.32	186	186
B.1.160.33	194	194
B.1.160.7	700	506
B.1.160.9	94	94
B.1.161	4	4
B.1.162	105	105
B.1.163	12	12
B.1.164	9	9
B.1.165	69	69
B.1.166	106	106
B.1.167	13	13
B.1.168	37	37
B.1.170	31	31
B.1.173	35	35
B.1.177	100983	51396
B.1.177.10	985	985
B.1.177.11	485	485
B.1.177.12	9	9
B.1.177.15	2077	1546
B.1.177.16	1533	1533
B.1.177.17	1265	1265
B.1.177.18	803	803
B.1.177.19	688	688
B.1.177.2	206	206
B.1.177.20	690	690
B.1.177.21	115	115
B.1.177.23	306	306
B.1.177.24	8	8
B.1.177.25	2	2
B.1.177.26	134	134
B.1.177.28	73	73
B.1.177.3	116	116
B.1.177.30	352	352
B.1.177.31	40	40
B.1.177.32	102	102
B.1.177.33	95	95
B.1.177.35	17	17
B.1.177.39	5	5
B.1.177.4	4635	4635
B.1.177.40	2	2
B.1.177.43	537	537
B.1.177.44	1661	1661
B.1.177.45	2609	2609
B.1.177.47	63	63
B.1.177.48	319	319
B.1.177.5	806	806
B.1.177.50	12	12
B.1.177.51	106	106
B.1.177.52	247	236
B.1.177.53	1075	94
B.1.177.54	1460	1396
B.1.177.55	329	329
B.1.177.56	4836	1346
B.1.177.57	3490	3490
B.1.177.58	691	691
B.1.177.59	4	4
B.1.177.6	948	948
B.1.177.60	244	164
B.1.177.62	605	605
B.1.177.63	344	344
B.1.177.65	1468	1468
B.1.177.67	3	3
B.1.177.69	682	682
B.1.177.7	5932	5932
B.1.177.71	100	100
B.1.177.72	26	26
B.1.177.73	61	61
B.1.177.74	10	10
B.1.177.75	263	263
B.1.177.76	3	3
B.1.177.77	219	219
B.1.177.8	1280	1280
B.1.177.81	2748	2490
B.1.177.82	281	281
B.1.177.83	120	120
B.1.177.84	151	151
B.1.177.85	37	37
B.1.177.86	2445	2445
B.1.177.87	1299	1299
B.1.177.89	56	56
B.1.177.9	1078	726
B.1.178	10	10
B.1.179	11	11
B.1.180	3	3
B.1.181	21	21
B.1.182	3	3
B.1.184	13	13
B.1.187	15	15
B.1.188	29	29
B.1.189	71	71
B.1.190	83	83
B.1.194	5	5
B.1.195	17	17
B.1.198	14	14
B.1.199	140	140
B.1.2	71929	71929
B.1.201	204	204
B.1.203	3	3
B.1.205	7	7
B.1.206	223	182
B.1.208	5	5
B.1.210	63	63
B.1.211	4	4
B.1.213	46	46
B.1.214	5	5
B.1.215	103	103
B.1.218	55	55
B.1.219	16	16
B.1.22	277	277
B.1.220	62	62
B.1.221	3799	3322
B.1.221.1	337	337
B.1.221.2	129	129
B.1.221.3	5	5
B.1.221.4	6	6
B.1.222	548	548
B.1.223	259	259
B.1.225	118	118
B.1.229	74	74
B.1.23	129	129
B.1.231	23	23
B.1.232	1066	1066
B.1.233	8	8
B.1.234	3717	3717
B.1.235	388	388
B.1.236	326	326
B.1.238	75	75
B.1.239	471	471
B.1.240	2630	2538
B.1.240.2	32	32
B.1.241	850	850
B.1.243	8089	7943
B.1.243.1	23	23
B.1.243.2	16	16
B.1.245	19	19
B.1.248	33	33
B.1.249	13	13
B.1.250	63	63
B.1.251	47	47
B.1.252	147	147
B.1.254	40	40
B.1.256	59	59
B.1.258	6657	4297
B.1.258.10	88	88
B.1.258.11	8	8
B.1.258.12	110	110
B.1.258.14	44	44
B.1.258.17	1168	1168
B.1.258.2	54	30
B.1.258.22	2	2
B.1.258.23	43	43
B.1.258.3	425	425
B.1.258.4	273	273
B.1.258.5	108	108
B.1.258.6	47	47
B.1.258.7	513	513
B.1.264	79	79
B.1.265	419	419
B.1.267	41	41
B.1.268	99	99
B.1.273	85	85
B.1.274	29	29
B.1.276	15	15
B.1.277	15	15
B.1.280	577	577
B.1.281	37	37
B.1.282	70	70
B.1.287	33	33
B.1.289	244	244
B.1.293	26	26
B.1.294	24	24
B.1.298	202	202
B.1.3	121	121
B.1.301	177	177
B.1.302	12	12
B.1.304	22	22
B.1.305	365	365
B.1.306	97	97
B.1.309	11	11
B.1.310	16	16
B.1.311	1949	1949
B.1.313	98	98
B.1.314	62	62
B.1.315	105	105
B.1.318	22	22
B.1.319	161	161
B.1.320	622	617
B.1.321	15	15
B.1.323	26	26
B.1.324	381	381
B.1.325	18	18
B.1.328	29	29
B.1.329	35	35
B.1.330	25	25
B.1.332	183	183
B.1.333	7	7
B.1.334	16	16
B.1.335	25	25
B.1.336	143	143
B.1.337	120	120
B.1.338	101	101
B.1.340	111	111
B.1.341	13	13
B.1.342	2	2
B.1.344	56	56
B.1.346	380	380
B.1.348	49	49
B.1.349	598	598
B.1.35	132	132
B.1.350	13	6
B.1.350.1	7	7
B.1.351	7863	7202
B.1.351.2	233	233
B.1.351.3	421	421
B.1.351.5	7	7
B.1.355	53	53
B.1.356	211	211
B.1.359	17	17
B.1.36	6946	1041
B.1.36.1	372	372
B.1.36.10	5	5
B.1.36.12	104	104
B.1.36.16	395	395
B.1.36.17	2382	1953
B.1.36.18	16	16
B.1.36.19	4	4
B.1.36.2	109	109
B.1.36.20	62	62
B.1.36.21	5	5
B.1.36.22	3	3
B.1.36.23	44	44
B.1.36.24	134	134
B.1.36.26	9	9
B.1.36.27	597	597
B.1.36.28	171	171
B.1.36.29	200	200
B.1.36.31	194	194
B.1.36.34	31	31
B.1.36.35	290	290
B.1.36.38	160	51
B.1.36.39	429	429
B.1.36.7	128	128
B.1.36.8	343	329
B.1.36.9	274	274
B.1.360	85	85
B.1.361	383	383
B.1.362	295	89
B.1.362.1	15	15
B.1.362.2	191	191
B.1.363	64	64
B.1.366	190	190
B.1.367	741	741
B.1.369	2621	2601
B.1.37	65	65
B.1.370	95	95
B.1.372	3	3
B.1.375	776	776
B.1.377	133	133
B.1.378	25	25
B.1.379	54	54
B.1.38	29	29
B.1.381	70	70
B.1.382	44	44
B.1.383	111	111
B.1.384	293	293
B.1.385	72	72
B.1.389	869	869
B.1.39	15	15
B.1.390	66	66
B.1.391	831	831
B.1.393	16	16
B.1.395	229	97
B.1.396	509	509
B.1.397	125	125
B.1.398	79	79
B.1.399	322	322
B.1.40	51	51
B.1.400	2041	1848
B.1.400.1	57	57
B.1.401	315	252
B.1.402	92	92
B.1.403	300	300
B.1.404	390	390
B.1.405	63	63
B.1.407	26	26
B.1.408	147	147
B.1.409	444	444
B.1.411	5	5
B.1.413	173	173
B.1.415	34	34
B.1.415.1	20	20
B.1.416	225	225
B.1.416.1	363	363
B.1.418	63	63
B.1.420	35	35
B.1.421	136	136
B.1.423	70	70
B.1.424	2	2
B.1.425	228	228
B.1.426	833	833
B.1.427	12832	12832
B.1.428	69	21
B.1.428.1	29	29
B.1.428.2	12	12
B.1.428.3	2	2
B.1.429	41460	28587
B.1.429.1	41	41
B.1.431	25	25
B.1.433	229	229
B.1.435	71	71
B.1.436	72	72
B.1.437	36	36
B.1.438	18	18
B.1.438.1	27	27
B.1.438.3	21	21
B.1.438.4	56	56
B.1.439	104	104
B.1.44	111	111
B.1.441	37	37
B.1.442	25	25
B.1.443	185	185
B.1.444	68	68
B.1.445	19	19
B.1.448	123	123
B.1.450	18	18
B.1.451	51	51
B.1.452	91	69
B.1.453	264	264
B.1.456	2	2
B.1.459	2	2
B.1.460	47	47
B.1.462	6	6
B.1.463	3	3
B.1.465	187	187
B.1.466	14	14
B.1.466.1	37	37
B.1.466.2	29	29
B.1.467	12	12
B.1.468	2	2
B.1.469	118	118
B.1.470	6	6
B.1.471	297	297
B.1.473	46	46
B.1.474	35	35
B.1.478	52	52
B.1.479	15	15
B.1.480	89	89
B.1.483	6	6
B.1.485	66	66
B.1.487	9	9
B.1.489	23	23
B.1.491	17	17
B.1.492	143	143
B.1.493	27	27
B.1.494	21	21
B.1.495	8	8
B.1.496	3	3
B.1.497	14	14
B.1.498	27	27
B.1.499	40	37
B.1.499.1	3	3
B.1.500	9	9
B.1.501	33	33
B.1.502	9	9
B.1.503	361	361
B.1.504	14	14
B.1.505	40	40
B.1.507	44	44
B.1.508	31	31
B.1.509	646	646
B.1.510	3	3
B.1.511	2	2
B.1.513	5	5
B.1.515	59	59
B.1.516	217	217
B.1.517	1555	1555
B.1.520	7	7
B.1.521	73	73
B.1.523	214	214
B.1.524	72	72
B.1.525	2562	2562
B.1.526	33113	33113
B.1.530	139	139
B.1.531	12	12
B.1.532	162	162
B.1.533	64	64
B.1.539	43	43
B.1.541	106	106
B.1.543	31	31
B.1.544	114	114
B.1.545	30	30
B.1.546	41	41
B.1.548	11	11
B.1.549	160	160
B.1.550	60	60
B.1.551	630	630
B.1.552	35	35
B.1.554	80	80
B.1.556	30	30
B.1.557	19	19
B.1.558	993	143
B.1.559	39	39
B.1.560	221	186
B.1.561	1199	1199
B.1.562	4	4
B.1.563	48	48
B.1.564	2626	5
B.1.564.1	4	4
B.1.565	722	722
B.1.567	166	166
B.1.568	680	680
B.1.569	22	22
B.1.570	418	418
B.1.571	16	16
B.1.572	57	39
B.1.574	117	117
B.1.575	2529	2496
B.1.575.1	33	33
B.1.576	310	246
B.1.577	873	873
B.1.578	16	16
B.1.579	49	49
B.1.580	535	152
B.1.581	10	10
B.1.582	1999	774
B.1.585	7	7
B.1.586	5	5
B.1.587	98	98
B.1.588	644	644
B.1.589	15	15
B.1.590	19	19
B.1.591	53	53
B.1.594	19	19
B.1.595	3819	1859
B.1.595.1	64	64
B.1.595.2	14	14
B.1.595.3	17	17
B.1.595.4	16	16
B.1.596	1159	1159
B.1.596.1	23	23
B.1.597	882	141
B.1.599	153	153
B.1.6	12	12
B.1.600	4	4
B.1.601	6	6
B.1.602	107	107
B.1.603	78	78
B.1.604	27	27
B.1.605	132	132
B.1.606	18	18
B.1.607	17	17
B.1.609	1103	1032
B.1.610	286	286
B.1.617.1	1004	1004
B.1.617.2	2746181	80008
B.1.617.3	26	26
B.1.618	2	2
B.1.619	79	79
B.1.619.1	8	8
B.1.620	129	129
B.1.621	5546	4204
B.1.621.1	1289	993
B.1.621.2	53	15
B.1.623	1897	1897
